numero_simulacao,nome_modelo,qtd_sucesso_alegria,qtd_sucesso_raiva,total_alegria,total_raiva,tempo_total_ms,acuracia_alegria,acuracia_raiva,acuracia_geral,precisao_alegria,recall_alegria,f1_alegria,precisao_raiva,recall_raiva,f1_raiva,precisao_macro,recall_macro,f1_macro,modelo
8.0,roboflow_emotion,30.0,7.0,50.0,50.0,55492.384910583496,0.6,0.14,0.37,0.410958904109589,0.6,0.4878048780487805,0.2592592592592592,0.14,0.1818181818181818,0.3351090816844241,0.37,0.3348115299334812,Roboflow
9.0,roboflow_emotion,34.0,7.0,50.0,50.0,53053.04026603699,0.68,0.14,0.41,0.4415584415584415,0.68,0.5354330708661418,0.3043478260869565,0.14,0.1917808219178082,0.372953133822699,0.41,0.363606946391975,Roboflow
10.0,roboflow_emotion,33.0,4.0,50.0,50.0,53644.64521408081,0.66,0.08,0.37,0.4177215189873418,0.66,0.5116279069767441,0.1904761904761904,0.08,0.1126760563380281,0.3040988547317661,0.37,0.3121519816573861,Roboflow
11.0,roboflow_emotion,36.0,7.0,50.0,50.0,53434.21697616577,0.72,0.14,0.43,0.4556962025316455,0.72,0.5581395348837209,0.3333333333333333,0.14,0.1971830985915493,0.3945147679324894,0.43,0.3776613167376351,Roboflow
12.0,roboflow_emotion,39.0,3.0,50.0,50.0,55311.62476539612,0.78,0.06,0.42,0.4534883720930232,0.78,0.5735294117647058,0.2142857142857142,0.06,0.09375,0.3338870431893687,0.42,0.3336397058823529,Roboflow
13.0,roboflow_emotion,32.0,6.0,50.0,50.0,69626.53803825378,0.64,0.12,0.38,0.4210526315789473,0.64,0.5079365079365079,0.25,0.12,0.1621621621621621,0.3355263157894737,0.38,0.335049335049335,Roboflow
14.0,roboflow_emotion,32.0,12.0,50.0,50.0,56184.4208240509,0.64,0.24,0.44,0.4571428571428571,0.64,0.5333333333333333,0.4,0.24,0.3,0.4285714285714286,0.44,0.4166666666666666,Roboflow
15.0,roboflow_emotion,30.0,4.0,50.0,50.0,57565.12784957886,0.6,0.08,0.34,0.3947368421052631,0.6,0.4761904761904761,0.1666666666666666,0.08,0.1081081081081081,0.2807017543859649,0.3399999999999999,0.2921492921492921,Roboflow
16.0,roboflow_emotion,31.0,7.0,50.0,50.0,52733.76798629761,0.62,0.14,0.38,0.4189189189189189,0.62,0.5,0.2692307692307692,0.14,0.1842105263157894,0.344074844074844,0.38,0.3421052631578947,Roboflow
17.0,roboflow_emotion,29.0,6.0,50.0,50.0,56220.60012817383,0.58,0.12,0.35,0.3972602739726027,0.58,0.4715447154471545,0.2222222222222222,0.12,0.1558441558441558,0.3097412480974124,0.35,0.3136944356456551,Roboflow
18.0,roboflow_emotion,27.0,4.0,50.0,50.0,83399.6229171753,0.54,0.08,0.31,0.3698630136986301,0.54,0.4390243902439025,0.1481481481481481,0.08,0.1038961038961038,0.2590055809233891,0.31,0.2714602470700032,Roboflow
19.0,roboflow_emotion,32.0,7.0,50.0,50.0,53033.252239227295,0.64,0.14,0.39,0.4266666666666667,0.64,0.512,0.28,0.14,0.1866666666666666,0.3533333333333334,0.39,0.3493333333333333,Roboflow
20.0,roboflow_emotion,28.0,12.0,50.0,50.0,53726.81999206543,0.56,0.24,0.4,0.4242424242424242,0.56,0.4827586206896552,0.3529411764705882,0.24,0.2857142857142856,0.3885918003565062,0.4,0.3842364532019704,Roboflow
21.0,roboflow_emotion,33.0,4.0,50.0,50.0,56659.60001945496,0.66,0.08,0.37,0.4177215189873418,0.66,0.5116279069767441,0.1904761904761904,0.08,0.1126760563380281,0.3040988547317661,0.37,0.3121519816573861,Roboflow
22.0,roboflow_emotion,38.0,4.0,50.0,50.0,82691.9732093811,0.76,0.08,0.42,0.4523809523809524,0.76,0.5671641791044777,0.25,0.08,0.1212121212121212,0.3511904761904761,0.42,0.3441881501582994,Roboflow
23.0,roboflow_emotion,32.0,9.0,50.0,50.0,56133.23402404785,0.64,0.18,0.41,0.4383561643835616,0.64,0.5203252032520325,0.3333333333333333,0.18,0.2337662337662337,0.3858447488584474,0.41,0.3770457185091331,Roboflow
24.0,roboflow_emotion,34.0,6.0,50.0,50.0,53507.86590576172,0.68,0.12,0.4,0.4358974358974359,0.68,0.53125,0.2727272727272727,0.12,0.1666666666666666,0.3543123543123543,0.4,0.3489583333333333,Roboflow
25.0,roboflow_emotion,32.0,4.0,50.0,50.0,52531.912088394165,0.64,0.08,0.36,0.4102564102564102,0.64,0.5,0.1818181818181818,0.08,0.1111111111111111,0.296037296037296,0.36,0.3055555555555556,Roboflow
26.0,roboflow_emotion,31.0,6.0,50.0,50.0,52627.6798248291,0.62,0.12,0.37,0.4133333333333333,0.62,0.496,0.24,0.12,0.16,0.3266666666666666,0.37,0.328,Roboflow
27.0,roboflow_emotion,38.0,4.0,50.0,50.0,52434.6981048584,0.76,0.08,0.42,0.4523809523809524,0.76,0.5671641791044777,0.25,0.08,0.1212121212121212,0.3511904761904761,0.42,0.3441881501582994,Roboflow
28.0,roboflow_emotion,34.0,8.0,50.0,50.0,52896.75784111023,0.68,0.16,0.42,0.4473684210526316,0.68,0.5396825396825397,0.3333333333333333,0.16,0.2162162162162162,0.3903508771929824,0.42,0.3779493779493779,Roboflow
29.0,roboflow_emotion,23.0,5.0,50.0,50.0,54349.900007247925,0.46,0.1,0.28,0.3382352941176471,0.46,0.3898305084745763,0.15625,0.1,0.1219512195121951,0.2472426470588235,0.28,0.2558908639933857,Roboflow
30.0,roboflow_emotion,30.0,6.0,50.0,50.0,55712.648153305054,0.6,0.12,0.36,0.4054054054054054,0.6,0.4838709677419355,0.2307692307692307,0.12,0.1578947368421052,0.3180873180873181,0.36,0.3208828522920204,Roboflow
